Component_ID,Lot_ID,True_Class,Temperature_C_0h,Temperature_C_24h,Temperature_C_48h,Temperature_C_96h,Temperature_C_168h,VCE_0h,VCE_24h,VCE_48h,VCE_96h,VCE_168h,Leakage_uA_0h,Leakage_uA_24h,Leakage_uA_48h,Leakage_uA_96h,Leakage_uA_168h,Breakdown_V_0h,Breakdown_V_24h,Breakdown_V_48h,Breakdown_V_96h,Breakdown_V_168h
C01-001,L01,OBVIOUS_FAILURE,128.94893535614167,126.86281154834464,127.1407646047697,127.4695605986854,128.25251515218153,1.0121465745324592,1.602336564643035,2.197933179113956,3.386576509760682,5.158952494513491,9.054860429102051,46.36756793713913,258.8068938661505,7584.000822257252,1231829.6460024018,603.9502365845913,601.1399604721096,597.3020844786491,590.6628454956934,582.151497367283
C01-002,L01,NORMAL,128.47228693699833,128.05385547224037,128.04528969794833,128.45298237501217,127.1828163009303,1.0002161403065013,1.033336440474384,1.056838042568669,1.1167346037626351,1.1791948829321897,8.999948629067829,9.438680239991031,9.3234060138877,9.254438135857308,9.099739261033044,607.8366628394244,607.8798266474067,609.5765508275903,608.5825755682789,607.2283790983973
C01-003,L01,NORMAL,128.61504138437357,127.63038982429202,128.3188548932274,127.98023384025036,127.15976820810698,1.0232609564371329,1.0147907709669373,1.0027683025273662,1.0026563562976416,0.992126025752646,7.873223295830328,7.965285354245672,8.159511645294584,9.583444815744643,10.6976215874046,606.0198688872388,606.2238361481543,604.118790446602,604.7651662125168,605.9096039706644
C01-004,L01,LATENT_DEFECT,127.7232086646642,126.37458167675057,126.91621509381358,128.55920971764073,127.48266107327308,1.0193932475142675,1.1226939848905202,1.224994697090257,1.4492429884912754,1.7699408344225804,8.63429907258834,17.18734340227241,33.7227425534999,150.1499064825325,1188.1419051985808,606.8333069940383,603.4262923356373,605.3470715215709,603.2723232704609,600.8085599491898
C01-005,L01,NORMAL,127.84354629469708,128.00096978412995,128.17856520832314,126.8951182077681,127.59947145207488,1.0139507020656755,1.0222146537990666,1.0114308363211788,1.018325447522045,0.9968150994447926,8.261026764143871,8.313660644791428,8.7481758291067,7.940601036099433,7.793388334534599,602.6676763841062,601.1700674757194,603.4101974983481,601.6599612367208,603.2192428213529
C01-006,L01,NORMAL,128.08940561151746,127.68090326275724,126.78604039634784,129.58962406275353,126.63675038275662,1.0232090732057937,1.0243008842441343,1.0461776650689782,1.0425284801215882,1.0844685256711182,9.996926226455605,10.887279999548458,11.851267989213682,13.186764897151765,16.84982294319552,610.7298101945925,612.5059614369985,613.0023276558243,613.0325741280893,612.3545940640253
C01-007,L01,LATENT_DEFECT,127.7809316230382,126.5960883854064,127.98168576274708,128.0410766505375,129.35745014116964,1.006397895717958,1.1724043226631218,1.3434778432946055,1.7034204767367251,2.2279904744789905,9.566328287091649,16.418368494257418,27.853926253704067,82.02229729480106,423.7545080776843,603.5583261440445,602.2579966827232,603.7565716047227,601.5442346628744,597.6645960126741
C01-008,L01,NORMAL,126.92696713021782,127.65825125064912,128.4656329424505,126.60288108875,126.49530143143409,1.028177109051364,1.0610774340380622,1.0856347297163096,1.1189835926344829,1.2063100841723724,10.650060621411257,9.85986601440132,10.35186518817825,9.59049697372899,9.123152020980514,604.226356714793,605.4073780164998,605.3809388681649,603.9777861021689,605.6648836473038
C01-009,L01,NORMAL,127.12575153750294,126.73730607694029,129.6985387604553,127.23098713521016,127.16754770910585,1.0080837572134258,0.9985361384263608,0.995805712294805,0.9783939182131792,0.9740761370485184,9.000855052767031,9.446022301056564,10.284803565774707,11.986006409082782,16.311897456348976,608.3250973146133,608.7483628059639,611.5834142669663,606.8582563119337,607.8173980471645
C01-010,L01,NORMAL,126.5342715678996,126.65012752034828,126.8348370707454,127.44553807794354,127.55530665916469,0.9937654543148724,1.007885928855028,1.0232445795296763,1.045405731626935,1.0784444609708774,7.806263167294473,9.108555900269415,9.00747014049867,9.890221476274505,10.310722374486412,608.3230497152542,609.1962754681284,607.7268737225462,606.0586392070587,605.0778364775881
C01-011,L01,NORMAL,128.13818841084694,128.20754070173012,128.08444337432078,128.276114487388,127.87416094752987,1.0231366196907103,1.0146282418856951,1.0022670113903334,0.9965954835134504,0.958862444251283,8.937217509683826,9.954728172891093,9.25124515487513,9.73488613480156,11.398174912284734,606.0171309471983,608.8114736157081,608.3932664217326,608.157715346472,607.4825912496945
C01-012,L01,NORMAL,127.44977956785236,126.2878327442575,126.76879563846968,129.5540057545836,128.26068730791192,1.0110747463495766,0.9965184810262688,1.0097996576406087,0.9919918588636598,0.9932376004478656,9.990806175261458,10.340979603406325,10.4054421409835,11.66716258920441,12.368019641473827,599.942156251748,601.683532981104,599.5608727690959,600.381146794443,601.8459297154099
C01-013,L01,NORMAL,128.5725631379049,127.75474097627544,128.45922796007133,126.60513399979251,128.43045562139807,1.0069901139663078,1.0251167934915482,1.015637602766545,1.039931015678704,1.071580356944307,9.49018935395156,10.230253359742877,10.22594025901858,10.950547411825616,13.063156940689163,604.4633470208253,601.1132421908043,604.7550046064438,602.8645489758105,604.0371048744579
C01-014,L01,NORMAL,129.29764319722716,128.63545783913986,128.09203738845537,128.20508801352713,129.3031496968326,1.0120851606647308,1.0285214705647572,1.0442018412609213,1.0503545897411382,1.098913444942908,10.252837874179283,11.004328376771024,11.463996715251438,12.806165910007191,14.929901991890071,598.9476005950951,600.1042972296509,601.0146264437528,600.4381498316462,600.3029132813175
